state,pollster,sponsors,pollster_rating_id,fte_grade,sample_size,methodology,start_date,end_date,internal,partisan,tracking,nationwide_batch,ranked_choice_reallocated,notes,url,stage,answer,candidate_name,candidate_party,pct
Arizona,Rasmussen Reports/Pulse Opinion Research,,277,C+,800,IVR/Online,10/27/20,10/29/20,FALSE,,,FALSE,FALSE,,https://www.rasmussenreports.com/public_content/politics/elections/election_2020/arizona_trump_48_biden_45,general,Biden,Joseph R. Biden Jr.,DEM,45
Arizona,Rasmussen Reports/Pulse Opinion Research,,277,C+,800,IVR/Online,10/27/20,10/29/20,FALSE,,,FALSE,FALSE,,https://www.rasmussenreports.com/public_content/politics/elections/election_2020/arizona_trump_48_biden_45,general,Trump,Donald Trump,REP,49
Georgia,Public Policy Polling,,263,B,661,,10/27/20,10/28/20,FALSE,,,FALSE,FALSE,,https://www.publicpolicypolling.com/polls/georgia-trending-well-for-democrats/,general,Biden,Joseph R. Biden Jr.,DEM,48
Georgia,Public Policy Polling,,263,B,661,,10/27/20,10/28/20,FALSE,,,FALSE,FALSE,,https://www.publicpolicypolling.com/polls/georgia-trending-well-for-democrats/,general,Trump,Donald Trump,REP,46
Ohio,Gravis Marketing,,124,C,613,IVR/Online,10/27/20,10/28/20,FALSE,,,FALSE,FALSE,,https://www.scribd.com/document/482077606/Ohio-October-28-2020,general,Biden,Joseph R. Biden Jr.,DEM,47
Ohio,Gravis Marketing,,124,C,613,IVR/Online,10/27/20,10/28/20,FALSE,,,FALSE,FALSE,,https://www.scribd.com/document/482077606/Ohio-October-28-2020,general,Trump,Donald Trump,REP,49
Arizona,Gravis Marketing,,124,C,704,IVR/Online,10/26/20,10/28/20,FALSE,,,FALSE,FALSE,,https://www.scribd.com/document/481978819/Arizona-October-28-2020,general,Biden,Joseph R. Biden Jr.,DEM,48
Arizona,Gravis Marketing,,124,C,704,IVR/Online,10/26/20,10/28/20,FALSE,,,FALSE,FALSE,,https://www.scribd.com/document/481978819/Arizona-October-28-2020,general,Trump,Donald Trump,REP,44
,J.L. Partners,The Independent,619,,844,,10/26/20,10/28/20,FALSE,,,FALSE,FALSE,,https://www.independent.co.uk/news/world/americas/us-election-2020/polls-2020-election-us-biden-lead-trump-points-latest-b1403511.html,general,Biden,Joseph R. Biden Jr.,DEM,55
,J.L. Partners,The Independent,619,,844,,10/26/20,10/28/20,FALSE,,,FALSE,FALSE,,https://www.independent.co.uk/news/world/americas/us-election-2020/polls-2020-election-us-biden-lead-trump-points-latest-b1403511.html,general,Trump,Donald Trump,REP,41
